year,month,day_endofweek,engagement,badges,engagement_inclow,badges_inclow,engagement_inchigh,badges_inchigh,engagement_incmiddle,badges_incmiddle
2020,1,12,.0251,.0632,.0282,.0645,.0298,.0789,.0217,.0568
2020,1,19,.0206,.00716,.0326,.00731,.0126,.00123,.0167,.00919
2020,1,26,-.0359,-.124,-.0404,-.134,-.0349,-.117,-.0337,-.121
2020,2,2,.0373,.0879,.0357,.0953,.0369,.0803,.0384,.0864
2020,2,9,.0265,.108,.0203,.102,.0256,.102,.0304,.114
2020,2,16,-.00647,.0259,.00951,.0553,-.0212,-.0082,-.0103,.0214
2020,2,23,-.0636,-.0533,-.0491,-.046,-.0966,-.0997,-.06,-.0405
2020,3,1,.0159,.124,.0106,.116,.0336,.136,.0125,.123
2020,3,8,.0269,.159,.0354,.163,.0367,.176,.0185,.151
2020,3,15,-.0109,.0889,-.0361,.0463,.0537,.187,-.0196,.0781
2020,3,22,-.471,-.291,-.617,-.515,-.212,.138,-.481,-.316
2020,3,29,-.436,-.181,-.599,-.433,-.129,.291,-.454,-.206
2020,4,5,-.349,-.0708,-.525,-.343,-.034,.379,-.361,-.0765
2020,4,12,-.347,-.0814,-.541,-.358,-.0336,.332,-.348,-.0715
2020,4,19,-.287,.0153,-.511,-.305,.0541,.479,-.282,.032
2020,4,26,-.252,.0807,-.483,-.258,.101,.563,-.247,.101
2020,5,3,-.282,.0462,-.504,-.286,.0646,.531,-.28,.062
2020,5,10,-.331,-.0395,-.548,-.354,.0137,.435,-.33,-.0298
2020,5,17,-.416,-.213,-.618,-.485,-.0893,.204,-.417,-.207
2020,5,24,-.525,-.333,-.685,-.556,-.231,.0475,-.539,-.342
2020,5,31,-.674,-.564,-.773,-.689,-.459,-.3,-.695,-.588
2020,6,7,-.752,-.654,-.816,-.746,-.593,-.439,-.773,-.679
2020,6,14,-.835,-.775,-.876,-.835,-.731,-.632,-.848,-.792
2020,6,21,-.931,-.924,-.945,-.948,-.874,-.841,-.942,-.94
